A|неопределенный артикль
MEALS|еда (от meal)
MEAN|означать
MEANING|значение
MEANINGLESS|бессмысленный
MEANS|средство, способ
MEANT|означаемый, подразумеваемый 
MEANTIME|между тем
MEANWHILE|тем временем, между тем
MEASLES|корь
MEASURE|мера
MEASURED|Измеренный
MEASURES|Меры
MEASURING|измерения (от measure)
MEAT|мясо, мясной
MECHANIC|механик
MECHANICAL|механический
MECHANICS|механика
MECHANISM|устройство
MEDAL|медаль
MEDDLE|вмешиваться
MEDICAL|медицинский
MEDICINE|медицина, лекарство
MEDIEVAL|средневековый
MEDITATE|размышлять, обдумывать
MEDIUM|средство, середина
MEEK|кроткий
MEET|встречать(ся), знакомиться
MEETING|встреча
MEG|Мэг
MELANCHOLY|Меланхолия
MELON|дыня
MELT|таять
MEMBER|член
MEMBERS|члены (от member)
MEMORABLE|памятный
MEMORANDUM|памятная записка
MEMORY|память
MEN|мужчины (от man)
MENACE|опасность (не danger)
MEND|чинить, ремонтировать
MENDED|починил, починенный (от mend)
MENTAL|умственный
MENTALLY|умственно
MENTION|благодарность, упоминать
MENTIONED|упомянул (от mention)
MENU|меню
MERCHANDISE|торговля
MERCHANT|торговец (не salesman)
MERCIFUL|милосердный (не gracious)
MERCURY|ртуть
MERCY|милость
MERE|простой
MERELY|единственно
MERGE|Слиться
MERIT|достоинство
MERRY|веселый, радостный m-
MESS|беспорядок, путаница
MESSAGE|сообщение, поручение
MESSENGER|посыльный, курьер
MET|встречались, встреченный (от meet)
METAL|металл, металлический
METER|счетчик
METHOD|метод
METROPOLITAN|столичный
MEXICAN|Мексиканец
MICE|мыши
MICROPHONE|микрофон
MICROSCOPE|микроскоп
MID|средний
MIDDAY|полдень
MIDDLE|средний
MIDNIGHT|полночь
MIDST|середина
MIGHT|можно, возможно (от may)
MIGHTY|могущественный
MILD|мягкий (не soft)
MILDRED|Милдред
MILE|миля
MILES|мили (от mile)
MILITARY|военный
MILK|молоко
MILL|фабрика, завод, мельница
MILLET|просо, пшено
MILLION|миллион
MILLIONS|Миллионы
MIND|память, мнение, помнить, возражать
MINDED|Склонный
MINDS|ум 
MINE|мой (употребляется без последующего существительного)
MINERAL|минeральный
MINGLED|Смешанный
MINIATURIZATION|Миниатюризация
MINIMS|Мельчайшая частица, очень маленькая доля, капля
MINIMUM|минимум
MINING|горный -ing
MINISTER|министр
MINISTRY|министерство
MINOR|младший, незначительный, второстепенный
MINORITY|меньшинство
MINT|мята
MINUS|минус
MINUTE|минута
MINUTES|минуты (от minute)
MIRACLE|чудо
MIRROR|зеркало
MIRTH|веселье, радость
MISCELLANEOUS|смешанный, разнообразный m-
MISCHIEF|зло, беда
MISCHIEVOUS|злонамеренный, злобный, шаловливый, озорной
MISERABLE|несчастный
MISERY|страдания, нищета
MISFORTUNE|несчастье (m-)
MISHAP|неудача (не unluck)
MISLEAD|вводить в заблуждение
MISS|промах, промахнуться, пропустить, скучать
MISSING|недостающий, отсутствующий, пропавший (без вести)
MISSION|миссия
MISSIONARY|миссионер
MIST|дымка
MISTAKE|ошибка
MISTAKEN|ошибочный (от mistake)
MISTRESS|хозяйка, госпожа
MISTY|туманный mi-
MIX|смешивать, мешать
MIXTURE|микстура
MM|Мм
MOAN|оплакивать, стонать
MOANING|Стенание -ing
MOB|толпа, сборище
MOBILE|подвижный
MOCK|насмехаться (не jeer)
MOCKERY|издевательство
MODE|способ
MODEL|модель
MODERATE|умеренный
MODERATELY|Умеренно
MODERN|современный
MODEST|скромный m-
MODIFICATION|Модификация
MODIFIED|видоизменённый 
MODIFY|модифицировать
MODULE|Модуль
MOIST|сырой, влажный m-
MOISTURE|влажность (не humidity)
MOLE|крот
MOLLY|Молли
MOMENT|момент, миг
MOMENTARY|Мгновенный
MOMENTUM|импульс
MONARCH|монарх
MONDAY|понедельник
MONEY|деньги
MONKEY|обезьяна
MONKS|Монахи
MONOTONOUS|однообразный, монотонный
MONSIEUR|Господин
MONSTER|чудовище
MONSTERS|Монстры
MONSTROUS|чудовищный
MONTH|месяц
MONTHLY|(еже)месячный, ежемесячно
MONTHS|месяцы (от month)
MONUMENT|памятник (не memorial)
MONUMENTS|памятники (от monument)
MOOD|настроение
MOON|луна
MOONLIGHT|лунный свет 
MOP|швабра, подтирать
MORAL|нравственный
MORE|еще, больше
MOREOVER|кроме того
MORNING|утро
MORROW|завтра, завтрашний день; следующий день 
MORSEL|кусочек -l
MORTAL|смертный, смертельный (не lethal)
MORTGAGE|заклад, залог
MORTIMER|Мортимер
MORTON|Мортон
MOSCOW|Москва
MOSQUITO|комар
MOSS|мох
MOSSY|мшистый
MOST|самый, весьма
MOSTLY|главным образом (не mainly)
MOTEL|мотель, гостиница
MOTH|моль, мотылек
MOTHER|мама
MOTION|движение
MOTIONLESS|неподвижный
MOTIVE|повод, мотив
MOTIVES|Поводы
MOTLEY|разноцветный, пестрый
MOTOR|мотор
MOULD|плесень; плесенный грибок
MOUND|насыпь, холмик
MOUNT|взбираться m-
MOUNTAIN|гора
MOURN|сетовать
MOURNFUL|грустный
MOURNING|траур
MOUSE|мышь
MOUSTACHE|усы
MOUTH|рот
MOVE|двигать(ся), переезжать
MOVEMENT|движение
MOVEMENTS|Движения
MOVIE|кино, фильм
MOVIES|кино, фильмы (от movie)
MOVING|трогательный
MOW|косить
MS|Госпожа
MUCH|много (с неисчисляемыми существительными)
MUD|грязь
MUDDY|грязный, мутный
MUFFLED|закутанный, укутанный, завёрнутый (не wrapped) 
MUFFLER|шарф
MUG|кружка
MUGGY|теплый, влажный, удушливый
MULBERRY|Тутовое дерево
MULE|мул, тупица, гибрид, туфля без задников
MULTI|Много
MULTIPLE|многократный -e
MULTITUDE|множество
MUMBLE|бормотание m-
MUMMY|Мумия
MUNCH|чавкать
MURAL|стенная живопись, фреска
MURDER|убийство
MURDERER|убийца
MURMUR|шорох, шепот m-
MUSCLE|мышца
MUSCLES|Мускулы
MUSCULAR|мускулистый
MUSEUM|музей
MUSIC|музыка
MUSICAL|музыкальный, мюзикл
MUSICIAN|музыкант
MUST|должен, надо
MUTE|немой (не dumb)
MUTINY|мятеж, поднять мятеж
MUTTER|бормотать
MUTTERED|Бормотал
MUTTERING|Бормотание -ing
MUTTON|баранина
MUTUAL|взаимный, общий (не common)
MUZZLE|морда, намордник, дуло
MY|мой, моя, мое, мои
MYRTLE|Мирт
MYSELF|себя, меня самого, себе, сам
MYSTERIOUS|таинственный
MYSTERY|тайна
MYTH|миф
NAB|курок
NAIL|ноготь, гвоздь
NAILS|ногти (от nail)
NAIVE|наивный
NAKED|обнаженный, голый
NAME|имя, фамилия, называть
NAMELY|а именно
NAN|Нэн
NANCY|Нэнси
NAPKIN|салфетка, пеленка
NAPOLEON|Наполеон
NARRATIVE|повествование, рассказ
NARROW|узкий
NASTY|скверный, плохой
NAT|Нат
NATION|нация, народ
NATIONAL|национальный
NATIONS|Нации
NATIVE|родной
NATIVES|Аборигены
NATURAL|естественный
NATURALIST|Натуралист
NATURALISTS|Натуралисты
NATURALLY|естественно
NATURE|природа
NAUGHTY|непослушный
NAVIGATION|судоходство, плавание, навигация
NAVY|военный флот
NAY|более того, даже; отрицательный ответ; отказ;
NEAR|близко от, около
NEARBY|поблизости (nearby)
NEAREST|ближайший (от near)
NEARLY|почти, приблизительно (не almost)
NEAT|чистый, опрятный n-
NEATLY|аккуратно 
NECESSARILY|обязательно
NECESSARY|нужный, необходимый
NECESSITY|необходимость
NECK|шея
NECKLACE|ожерелье
NED|Нед
NEED|нуждаться в, надо, нужда, потребность
NEEDLE|игла
NEEDLEWORK|шитье
NEGATIVE|отрицательный, отрицание, негатив
NEGLECT|пренебрегать
NEGLECTED|Пренебрег
NEGLIGENCE|небрежность
NEGOTIATE|договариваться
NEIGHBOUR|сосед
NEIGHBOURHOOD|соседство
NEIGHBOURING|соседний
NEITHER|также не
NELL|Нелл
NEPHEW|племянник
NERVE|нерв
NERVES|нервы (от nerve)
NERVOUS|нервный
NEST|гнездо
NET|сеть
NETWORK|сеть
NEUTRAL|нейтральный
NEVER|никогда
NEVERTHELESS|тем не менее
NEVILLE|Невилл
NEW|новый
NEWCOMER|новичок (не beginner)
NEWLY|вновь (не again)
NEWS|новости, известия
NEWSLETTER|новости
NEWSPAPER|газета
NEWSPAPERS|газеты (от newspaper)
NEXT|следующий, соседний, затем, потом
NICE|хороший, чудесный, приятный
NICELY|хорошо
NICER|лучше (от nice)
NICEST|самый вкусный (от nice)
NICHE|ниша
NICHOLAS|Николас
NICK|Зарубка
NICKEL|никл (монета в 5 центов)
NICKNAME|прозвище
NIECE|племянница
NIECES|Племянницы
NIGHT|ночь
NIGHTINGALE|соловей
NIGHTMARE|кошмар
NIGHTS|ночи (от night)
NINE|девять
NINETEEN|девятнадцать
NINETEENTH|девятнадцатый
NINETY|девяносто
NINTH|девятый
NIP|укус, щипать, пересечь
NO|нет, никакой
NOBLE|благородный, знатный
NOBLEMAN|дворянин
NOBLES|Знать (знатные люди)
NOBODY|никто
NOD|кивать головой, кивок
NODDING|Кивающий
NODE|Узел (не knot)
NOISE|шум
NOISELESS|бесшумный
NOISES|Шумы
NOISY|шумный
NON|не
NONE|нисколько, совсем не, вовсе не
NONSENSE|чепуха, ерунда
NOON|полдень
NOR|и не, также не
NORMAL|нормальный
NORMALLY|обычно n-
NORMANDY|Нормандия
NORRIS|Норрис
NORTH|север
NORTHERN|северный
NOSE|нос
NOSTRIL|ноздря
NOSTRILS|Ноздри
NOT|не
NOTABLE|заметный
NOTABLY|исключительно
NOTE|запись, записка, банкнота, записывать
NOTEBOOK|тетрадь (n-)
NOTHING|ничто, ничего
NOTICE|извещение, сообщение, замечать, обращать внимание
NOTIFY|извещать, уведомлять (не inform)
NOTION|понятие
NOTIONS|Понятия
NOTORIOUS|известный, отъявленный
NOTWITHSTANDING|несмотря на, тем не менее, однако
NOURISHING|питательный (-ing)
NOURISHMENT|питание, пища
NOVEL|роман
NOVELTY|новизна, новинка
NOVEMBER|ноябрь
NOW|сейчас
NOWADAYS|в наше время
NOWHERE|нигде, никуда
NUISANCE|досада
NULL|Пустой указатель
NULLS|Пустые указатели
NUMB|онемелый, оцепенелый (не dumb, )
NUMBER|номер
NUMBERS|Номера(числа)
NUMERALS|числительные (от numeral)
NUMERIC|Числовой
NUMEROUS|многочисленный
NURSE|няня (не nanny)
NURSERY|детский, ясли
NUT|орех
NUTS|орехи (от nut)
NYLON|нейлон, нейлоновый
OAK|дуб
OAR|весло
OARS|вёсла 
OATH|клятва, присяга
OBEDIENCE|послушание
OBEDIENT|послушный
OBEY|подчиняться, слушаться
OBJECT|возражать, предмет
OBJECTED|Возразил (не retorted)
OBJECTION|возражение, протест
OBJECTIONS|возражения (от objection)
OBJECTIVE|цель, стремление (-ve)
OBJECTS|Объекты(цели)
OBLIGATION|обязательство
OBLIGE|обязывать
OBLIGED|обязан, признателен (от oblige)
OBSCURE|затемнять, затруднять понимание
OBSERVATION|наблюдение, замечание
OBSERVE|наблюдать, замечать (не outlook)
OBSERVED|наблюдаемый 
OBSERVER|наблюдатель
OBSTACLE|препятствие
OBTAIN|добиваться
OBTAINED|Полученный *b-
OBVIOUS|очевидный o-
OBVIOUSLY|очевидно o-
OCCASION|случай, обстоятельство
OCCASIONAL|случайный
OCCASIONALLY|изредка
OCCASIONED|Причиняемый
OCCUPATION|занятие
OCCUPIED|занятый 
OCCUPY|занимать, завоёвывать
OCCUR|случаться
OCCURRENCE|Возникновение
OCCURS|Происходит
OCEAN|океан
OCTAVIAN|Октавиан
OCTOBER|октябрь
ODD|странный
ODDS|разница, неравенство
ODOUR|запах, аромат o-
OF|предлог родительного падежа (кого?, чего?)
OFF|прочь, от
OFFENCE|обида
OFFEND|обижать, обидеть (o-)
OFFENDED|обиженный 
OFFENSIVE|наступление
OFFER|предлагать
OFFERING|предложение
OFFICE|офис, контора
OFFICER|служащий, офицер
OFFICIAL|официальный, чиновник
OFFICIALLY|официально
OFFSET|смещенный
OFFSPRING|Потомство
OFTEN|часто
OH|O!
OIL|масло
OK|все в порядке
OLD|старый
OLDEST|старший, самый старый
OLIVE|олива, маслина; оливкового цвета
OMELETTE|омлет
OMINOUS|зловещий
OMIT|опускать, пропускать, упускать
ON|на, вперед, дальше
ONCE|один раз, однажды
ONESELF|(самого) себя o-
ONION|лук
ONLY|только, единственный
ONTO|на (не upon)
ONWARD|вперед, далее, продвигающийся вперед
OPEN|открывать
OPENED|открыл, открытый (от open)
OPENING|начало, открытие
OPENLY|открыто
OPERA|опера
OPERATE|действовать
OPERATING|управляющий -ing
OPERATION|действие, операция
OPERATIVE|действующий o-ve
OPERATOR|оператор
OPINION|мнение
OPPONENT|соперник
OPPORTUNITY|возможность
OPPOSED|Противопоставленный
OPPOSITE|противоположный
OPPOSITION|противодействие
OPPRESSIVE|гнетущий, деспотический
OPT|выбирать
OPTION|выбор (o-)
OPTIONAL|Дополнительный
OPTIONS|Выбора
OR|или
ORANGE|апельсин, оранжевый
ORANGES|апельсины (от orange)
ORCHARD|фруктовый сад
ORCHESTRA|партер, оркестр
ORDER|порядок, приказ, заказ, заказывать, приказывать
ORDERED|приказал (от order)
ORDERLY|аккуратный
ORDINAL|порядковый
ORDINARILY|обыкновенным, обычным путем; обычно; нормально; в обычной степени
ORDINARY|обычный, простой
ORGAN|орган
ORGANIC|органический
ORGANIZATION|организация
ORGANIZE|организовывать
ORGANIZED|организовывал (от organize)
ORGANIZER|организатор
ORGANS|Органы
ORIENTAL|восточный
ORIGIN|происхождение
ORIGINAL|оригинал, первоначальный
ORIGINALLY|первоначально
ORIGINATE|возникать, происходить, давать начало, порождать; создавать
ORNAMENT|украшение, орнамент; украшать
ORPHAN|сирота, сиротский
OSTRICH|страус
OTHER|другой
OTHERWISE|иначе
OUGHT|долженствование
OUR|наш
OURS|наш
OURSELVES|себя, себе, сами
OUT|вне, вон, из, снаружи, наружный
OUTBREAK|взрыв, вспышка, начало (войны и т.п.)
OUTCOME|результат
OUTCRY|крик, протест
OUTDOOR|на открытом воздухе
OUTER|внешний
OUTFIT|снаряжение, обмундирование, оборудование
OUTLAW|человек вне закона, изгнанник
OUTLET|выход, выходное отверстие
OUTLINE|контур, конспект, план, схема; краткое содержание
OUTPUT|выпуск, продукция
OUTRAGE|нарушение закона, насилие, оскорблять
OUTRIGHT|открыто, прямо; без утайки (не straight, directly)
OUTSIDE|снаружи, наружный
OUTSKIRTS|окраина (города), опушка (леса)
OUTSTANDING|выдающийся *u-
OUTWARD|внешний, наружный (не outside)
OUTWIT|перехитрить
OVEN|печь
OVER|через, над, сверх
OVERALL|всеобщий o-
OVERCOAT|пальто
OVERCOME|преодолеть
OVERFLOW|переливаться через край, заливать, переполнять
OVERHEAD|наверху, над головой, верхний
OVERHEAR|подслушивать
OVERJOYED|вне себя от радости, очень довольный
OVERLOAD|перегружать
OVERLOOK|надзирать
OVERRIDE|наехать, переехать; задавить Отвергнуть
OVERTHROW|свергать
OVERTIME|сверхурочные
OVERTURN|опрокидывать(ся), ниспровергать
OVERWHELM|засыпать, забрасывать (вопросами), сокрушать
OVERWHELMING|несметный
OWE|быть должным
OWEN|Оуэн
OWING|должный
OWL|сова
OWN|иметь, владеть, свой, собственный
OWNER|владелец
OWNERS|Владельцы
OWNERSHIP|собственность
OX|бык
OXBOW|ярмо
OXYGEN|кислород
OYSTER|устрица
OYSTERS|устрицы (от oyster)
OZ|Унция
PACE|шагать
PACIFIC|мирный
PACK|упаковывать, упаковать
PACKAGE|пакет
PACKET|пакет (не bundle)
PAD|мягкая прокладка, подушка; подбивать (ватой и т.п.)
PADDLE|короткое весло, грести одним веслом; шлепать по воде
PADLOCK|висячий замок
PAGE|страница
PAID|платил, оплаченный (от pay)
PAIL|ведро
PAIN|боль, страдание
PAINFUL|причиняющий боль, мучительный
PAINS|боли, страдания (от pain)
PAINT|красить, краска
PAINTER|художник
PAINTING|живопись
PAIR|пара
PAIRS|Пары
PAL|приятель, товарищ, дружок
PALACE|дворец
PALE|бледный
PALM|ладонь
PAMPHLET|брошюра, памфлет
PAN|сковорода
PANE|оконное стекло
PANEL|комиссия
PANG|острая боль
PANIC|паника
PANT|задыхаться (не gasp)
PANTOMIME|Пантомима
PANTRY|кладовая, чулан (не closet)
PAPER|бумага, газета
PARADE|парад
PARAGRAPH|параграф
PARALLEL|параллельный
PARAMETER|Параметр
PARAMETERS|Параметры
PARCEL|пакет *a-
PARCHMENT|Пергамент
PARDON|извинение
PARENT|родитель, родственник
PARENTS|родители (от parent)
PARK|парк, (при)парковать(ся)
PARKED|Припаркованный
PARKING|стоянка
PARLIAMENT|парламент
PARLOR|Комната
PARLOUR|кабинет p-
PARROT|попугай
PARROTS|Попугаи
PARSLEY|петрушка (бот.)
PART|часть, доля, роль, делить, расставаться, расходиться
PARTED|Разделенный
PARTIAL|частичный
PARTIALLY|Частично
PARTICIPATE|участвовать
PARTICLES|Частицы
PARTICULAR|особый
PARTICULARLY|особенно, в особенности
PARTIES|вечеринки (от party)
PARTING|прощание
PARTITION|разделение
PARTLY|частично
PARTNER|участник
PARTS|части (от part)
PARTY|вечеринка, группа
PASS|передавать, проходить, пропуск, перевал
PASSAGE|проход
PASSAGES|проходы 
PASSED|прошел (от pass)
PASSENGER|пассажир
PASSENGERS|Пассажиры
PASSING|прохождение
PASSION|страсть
PASSIONATE|страстный
PASSWORD|Пароль
PASSWORDS|Пароли
PAST|после, за
PASTE|тесто, клейстер, паста; клеить, склеивать
PASTURE|пастбище
PAT|хлопок
PATCH|заплатка
PATH|тропинка, беговая дорожка
PATHETIC|трогательный
PATHS|Дорожки (не roads, lanes)
PATIENCE|терпение
PATIENT|пациент, терпеливый
PATIENTLY|Терпеливо
PATROL|патруль
PATSY|Паци
PATTED|Ласкал
PATTERN|модель
PAUL|пол 
PAUSE|пауза
PAUSING|Приостановка -ing
PAVEMENT|тротуар (не sidewalk)
PAW|лапа
PAWS|Лапы
PAY|платить, зарплата
PAYING|платеж
PAYMENT|плата
PEA|горох
PEACE|мир
PEACEABLE|миролюбивый, мирный
PEACEFUL|мирный, спокойный
PEACEFULLY|мирно
PEACH|персик
PEACHES|персики (от peach)
PEACOCK|павлин
PEAK|вершина
PEAL|трезвон, раскат грома
PEANUT|земляной орех
PEAR|груша
PEARL|жемчуг, жемчужный
PEARLS|Жемчуг
PEARS|груши (от pear)
PEAS|горошек, горох
PEBBLE|галька, горный хрусталь
PECK|клевать
PECULIAR|особенный p-
PECULIARITIES|Особенности
PEDAL|педаль
PEDESTRIAN|пешеход
PEEKS|(он) Посмотрит -s
PEEL|чистить, почистить
PEEP|проблеск, выглядывать
PEER|вглядываться, всматриваться p-
PEERED|Глядел (*e-)
PEERING|Глядя -ing
PEEVES|Обиды
PEG|целиться
PEN|ручка
PENCIL|карандаш
PENDING|во время, в течение
PENETRATE|проникать внутрь
PENHOLDER|ручка (для пера)
PENKNIFE|перочинный нож
PENNY|пенни
PENSIONER|пенсионер
PEOPLE|люди
PEPPER|перец
PER|в
PERCEIVE|воспринимать, ощущать
PERCEIVED|Воспринятый
PERCENT|процент
PERCY|Перси
PERFECT|совершенный
PERFECTION|совершенство
PERFECTLY|совершенно, вполне
PERFORM|делать, выполнять
PERFORMANCE|спектакль
PERFORMED|Выполненный (не от слова fulfil)
PERFUME|духи
PERHAPS|возможно, может быть
PERIL|опасность
PERILOUS|опасный, рискованный
PERIOD|период
PERIODIC|периодический
PERIODS|Периоды
PERMANENT|постоянный
PERMANENTLY|постоянно
PERMISSIBLE|допустимый
PERMISSION|разрешение
PERMIT|разрешать
PERMITTED|Разрешенный
PERPENDICULAR|перпендикулярный
PERPETUAL|вечный, постоянный p-
PERRY|Перри
PERSECUTION|преследование
PERSEVERANCE|настойчивость, упорство
PERSIAN|Персидский
PERSISTENT|настойчивый
PERSON|человек, особа, лицо, личность
PERSONAL|личный
PERSONALLY|лично
PERSONS|Люди
PERSPECTIVE|перспектива, перспективный
PERSUADE|убеждать
PERSUADED|Убежденный (не convinced)
PERVERSE|извращенный, испорченный, превратный
PEST|паразит, вредитель, бич
PET|любимое домашнее животное, любимец
PETER|Питер
PETITION|петиция, прошение, подавать петицию
PETROL|бензин
PETS|домашние животные (от pet)
PHANTOM|Фантом
PHASE|фаза, фазировать
PHILADELPHIA|Филадельфия
PHILIP|Филип
PHILOSOPHICAL|философский
PHILOSOPHY|философия
PHONE|телефон
PHOSPHATE|Фосфат
PHOTO|фотография
PHOTOGRAPH|фотография, фотографировать
PHOTOGRAPHER|фотограф
PHOTOGRAPHIC|фотографический
PHOTOGRAPHING|фотографирование
PHOTOGRAPHY|фотография
PHRASE|фраза
PHYSICAL|физический
PHYSICALLY|физически
PHYSICIAN|врач
PIANO|пианино
PICK|собирать, подбирать, выбирать
PICKED|собранный, выбранный 
PICKLES|маринованные огурцы
PICNIC|пикник
PICTURE|картина, изображение, рисовать, описывать
PICTURES|картины (от picture)
PICTURESQUE|живописный
PIE|пирог
PIECE|кусок
PIER|пристань, мол, свая, бык
PIERCE|пронзать, протыкать, пронизывать, проникать
PIERRE|Пирр
PIG|свинья
PIGEON|голубь
PIGEONS|Голуби
PIGS|Свиньи
PIKE|щука (не lung)
PILE|куча, груда, кипа, пачка
PILED|Сложенный
PILLAR|колонна, столб p-
PILLOW|подушка
PILLS|таблетки (от pill)
PILOT|пилот
PIN|булавка, значок, прикалывать
PINCERS|клещи, щипцы
PINCH|щипать, прищемить, щипок
PINCHING|Зажимание -ing
PINE|сосна
PINEAPPLE|ананас
PINK|розовый
PINS|значки (от pin)
PIOUS|набожный
PIPE|труба (не tube)
PIRATE|пират
PISTOL|револьвер, пистолет
PIT|яма, партер (не dig)
PITCH|бросок, уровень, сооружать
PITCHED|Переданный
PITCHER|подающий
PITEOUS|жалкий, жалобный
PITIFUL|жалкий, ничтожный
PITY|жалость
PIZZA|пицца
PLACE|место
PLACING|Размещение -ing
PLAIN|ясный, очевидный, равнина
PLAINLY|Явно (не clearly, obvious)
PLAINS|Равнины
PLAN|план, планировать
PLANE|самолет
PLANES|самолеты (от plane)
PLANET|планета
PLANETS|Планеты
PLANK|доска (p-)
PLANNED|плановый
PLANNING|планирование
PLANS|планы (от plan)
PLANT|завод, растение, сажать, внедрять, посадить
PLANTATION|плантация
PLANTS|Заводы(растения)
PLASTER|пластырь, штукатурка, штукатурить
PLASTIC|пластмасса, пластичный
PLATE|тарелка
PLATES|тарелки (от plate)
PLATFORM|платформа
PLATFORMS|Платформы
PLAY|играть, игра (play)
PLAYED|играл (от play)
PLAYER|плейер, игрок
PLAYING|играющий (от play)
PLAYS|играет (от play)
PLAYWRIGHT|драматург
PLEADED|Умолял
PLEASANT|приятный
PLEASANTLY|приятно 
PLEASE|пожалуйста (только в просьбе)
PLEASED|довольный
PLEASURE|удовольствие
PLENTY|изобилие, избыток, вполне, довольно
PLOT|заговор
PLOUGH|пахать
PLUCK|ощипывать, выщипывать, рвать (цветы)
PLUCKY|смелый, отважный (не manful)
PLUG|пробка (не cork)
PLUM|слива
PLUMAGE|Оперение
PLUME|перо
PLUMP|пухлый, полный (не swell)
PLUMS|сливы (от plum)
PLUNDER|добыча, грабить
PLUNGE|нырять p-
PLUNGED|Погруженный
PLURAL|множественное число (грам.)
PLUS|плюс
POCKET|карман
POCKETS|карманы 
POD|стручок, лущить
POEM|стихотворение, поэма
POEMS|стихи (от poem)
POET|поэт
POETRY|поэзия, стихи
POINT|точка, пункт, суть дела, указывать, показывать
POINTED|острый, многозначительный, совершенно очевидный
POINTING|указывающий (-ing) 
POINTS|Пункты(точки)
POISON|яд, отравлять
POISONOUS|ядовитый
POKE|толчок, тыкать
POKING|Тыкание -ing
POLAR|полярный
POLE|полюс
POLICE|полиция
POLICEMAN|полицейский
POLICY|политика
POLISH|лак
POLITE|любезный, вежливый
POLITELY|вежливо 
POLITENESS|Вежливость
POLITICAL|политический
POLITICS|политика
POLL|подсчет (голосов), голосование; голосовать, подсчитывать голоса
POLLEN|Пыльца
POMPEY|Помпей
POND|пруд (не pool)
PONY|пони
POOL|пруд, бассейн
POOR|бедный
POORLY|плохо, неважно
POP|поп, популярный
POPPED|Совавший
POPULAR|популярный
POPULATION|население, жители
PORCELAIN|фарфор
PORCH|крыльцо, (амер.) веранда, терраса
PORE|пора
PORK|свинина
PORRIDGE|каша
PORT|порт
PORTABLE|переносной
PORTED|Перенесенный, транспортированный
PORTER|носильщик
PORTION|часть, доля (не section, segment)
PORTIONS|Части *o-
PORTRAIT|портрет
PORTS|порты (от port)
POSE|поза, ставить (вопрос, задачу)
POSITION|положение
POSITIVE|положительный
POSITIVELY|Положительно
POSSESS|обладать
POSSESSED|хладнокровный, владеющий собой, одержимый 
POSSESSION|владение
POSSIBILITY|возможность p-
POSSIBLE|возможный
POSSIBLY|возможно
POST|почта, после
POSTAGE|почтовые расходы
POSTAL|почтовый
POSTCARD|почтовая открытка
POSTER|плакат
POSTMAN|почтальон
POSTPONE|отсрочивать
POT|котелок
POTATO|картофель
POTATOES|картофель (от potato)
POTENTIAL|потенциал, потенциальный
POTENTIALLY|потенциально
POTION|Микстура
POTIONS|Микстуры
POTS|Горшки
POTTER|Гончар
POULTRY|домашняя птица
POUNCE|налетать
POUND|фунт, фунт стерлингов
POUNDS|фунты (от pound)
POUR|лить
POURED|Лил
POVERTY|бедность
POWDER|пудра
POWER|держава, энергия, сила, мощность (не force)
POWERFUL|могущественный, сильный
POWERFULLY|сильно (p-)
POWERS|Полномочия
PRACTICABLE|осуществимый
PRACTICAL|практический
PRACTICALLY|практический
PRACTICE|практика
PRACTICED|применял, практиковал (от practice)
PRACTISE|заниматься
PRAISE|хвалить
PRAISED|хвалил (от praise)
PRANK|проделка, разряжаться
PRAY|молить
PRAYER|молитва, просьба
PRAYERS|Просьбы(просители)
PRE|Пред
PREACH|проповедовать
PRECARIOUS|ненадежный *r-
PRECAUTION|предосторожность
PRECEDING|предшествующий -ing
PRECIOUS|драгоценный
PRECISE|точный
PRECISELY|точно
PRECISION|точность
PREDATOR|хищник
PREDICATE|сказуемое (грам.)
PREDICTION|предсказание
PREFER|предпочитать
PREFERENCE|предпочтение
PREFERRED|предпочитал (от prefer)
PREFIX|(грам.) префикс, приставка
PREGNANT|беременная, чреватый (последствиями и т. п.)
PRELIMINARY|предварительный (p- не preparatory)
PREPARATION|приготовление
PREPARATIONS|Приготовления
PREPARE|готовить(ся)
PREPARED|готовился, готовый (от prepare)
PREPARING|Подготовка
PREPONDERANT|преобладающий
PRESCRIPTION|рецепт
PRESENCE|присутствие
PRESENT|настоящее время, подарок, настоящий, присутствующий
PRESENTED|Представленный
PRESENTIMENT|предчувствие
PRESENTLY|вскоре
PRESENTS|подарки (от present)
PRESERVATION|сохранение, сохранность, консервирование
PRESERVE|сохранять
PRESERVED|Сохраненный
PRESIDENT|президент
PRESS|(по)гладить, сжимать, нажимать, печать, пресса
PRESSED|поглаженный, сжатый (от press)
PRESSING|срочный, настойчивый
PRESSURE|давление
PRESUMABLY|возможно
PRESUME|предполагать (не suppose)
PRETENCE|притворство
PRETEND|притворяться, делать вид
PRETTY|хороший, значительный
PREVAIL|торжествовать (не triumph)
PREVAILED|Преобладал
PREVENT|предотвращать, препятствовать
PREVENTED|Предотвращенный
PREVIEW|предварительный просмотр
PREVIOUS|предшествующий
PREVIOUSLY|предварительно
PREY|жертва
PRICE|цена
PRICELESS|бесценный
PRICK|(у)колоть(ся)
PRICKLY|колючий
PRIDE|гордость
PRIEST|священник
PRIMARY|первичный
PRIME|главный (не chief, major)
PRINCE|принц
PRINCESS|Принцесса
PRINCIPAL|главный, основной, важнейший p-
PRINCIPLE|принцип
PRINCIPLES|Принципы
PRINT|печатать, напечатать
PRINTING|печатание
PRIOR|прежний
PRIORITY|приоритет
PRISON|тюрьма
